,Year,Quarter,        Gross domestic product (in Millions)
250,2010,Q3,15079917
251,2010,Q4,15240843
252,2011,Q1,15285828
253,2011,Q2,15496189
254,2011,Q3,15591850
255,2011,Q4,15796460
256,2012,Q1,16019758
257,2012,Q2,16152257
258,2012,Q3,16257151
259,2012,Q4,16358863
260,2013,Q1,16569591
261,2013,Q2,16637926
262,2013,Q3,16848748
263,2013,Q4,17083137
264,2014,Q1,17104555
265,2014,Q2,17432909
266,2014,Q3,17721657
267,2014,Q4,17849912
268,2015,Q1,17984178
269,2015,Q2,18219405
270,2015,Q3,18344713
271,2015,Q4,18350825
272,2016,Q1,18424283
273,2016,Q2,18637253
274,2016,Q3,18806743
275,2016,Q4,18991883
276,2017,Q1,19190431
277,2017,Q2,19356649
278,2017,Q3,19611704
279,2017,Q4,19918910
280,2018,Q1,20163159
281,2018,Q2,20510177
282,2018,Q3,20749752
283,2018,Q4,20897804
284,2019,Q1,21098827
285,2019,Q2,21340267
286,2019,Q3,21542540
287,2019,Q4,21729124
288,2020,Q1,21537940
