,Period,GDP in millions
272,2016Q1,18424283
273,2016Q2,18637253
274,2016Q3,18806743
275,2016Q4,18991883
276,2017Q1,19190431
277,2017Q2,19356649
278,2017Q3,19611704
279,2017Q4,19918910
280,2018Q1,20163159
281,2018Q2,20510177
282,2018Q3,20749752
283,2018Q4,20897804
284,2019Q1,21098827
285,2019Q2,21340267
286,2019Q3,21542540
287,2019Q4,21729124
288,2020Q1,21537940
